Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,1643690.9,0,42.31,2.572,211.0963582,8.106
1,12-02-2010,1641957.44,1,38.51,2.548,211.2421698,8.106
1,19-02-2010,1611968.17,0,39.93,2.514,211.2891429,8.106
1,26-02-2010,1409727.59,0,46.63,2.561,211.3196429,8.106
1,05-03-2010,1554806.68,0,46.5,2.625,211.3501429,8.106
1,12-03-2010,1439541.59,0,57.79,2.667,211.3806429,8.106
1,19-03-2010,1472515.79,0,54.58,2.72,211.215635,8.106
1,26-03-2010,1404429.92,0,51.45,2.732,211.0180424,8.106
1,02-04-2010,1594968.28,0,62.27,2.719,210.8204499,7.808
1,09-04-2010,1545418.53,0,65.86,2.77,210.6228574,7.808
1,16-04-2010,1466058.28,0,66.32,2.808,210.4887,7.808
1,23-04-2010,1391256.12,0,64.84,2.795,210.4391228,7.808
1,30-04-2010,1425100.71,0,67.41,2.78,210.3895456,7.808
1,07-05-2010,1603955.12,0,72.55,2.835,210.3399684,7.808
1,14-05-2010,1494251.5,0,74.78,2.854,210.3374261,7.808
1,21-05-2010,1399662.07,0,76.44,2.826,210.6170934,7.808
1,28-05-2010,1432069.95,0,80.44,2.759,210.8967606,7.808
1,04-06-2010,1615524.71,0,80.69,2.705,211.1764278,7.808
1,11-06-2010,1542561.09,0,80.43,2.668,211.4560951,7.808
1,18-06-2010,1503284.06,0,84.11,2.637,211.4537719,7.808
1,25-06-2010,1422711.6,0,84.34,2.653,211.3386526,7.808
1,02-07-2010,1492418.14,0,80.91,2.669,211.2235333,7.787
1,09-07-2010,1546074.18,0,80.48,2.642,211.108414,7.787
1,16-07-2010,1448938.92,0,83.15,2.623,211.1003854,7.787
1,23-07-2010,1385065.2,0,83.36,2.608,211.2351443,7.787
1,30-07-2010,1371986.6,0,81.84,2.64,211.3699032,7.787
1,06-08-2010,1605491.78,0,87.16,2.627,211.5046621,7.787
1,13-08-2010,1508237.76,0,87,2.692,211.6394211,7.787
1,20-08-2010,1513080.49,0,86.65,2.664,211.6033633,7.787
1,27-08-2010,1449142.92,0,85.22,2.619,211.5673056,7.787
1,03-09-2010,1540163.53,0,81.21,2.577,211.5312479,7.787
1,10-09-2010,1507460.69,1,78.69,2.565,211.4951902,7.787
1,17-09-2010,1430378.67,0,82.11,2.582,211.5224596,7.787
1,24-09-2010,1351791.03,0,80.94,2.624,211.5972246,7.787
1,01-10-2010,1453329.5,0,71.89,2.603,211.6719895,7.838
1,08-10-2010,1508239.93,0,63.93,2.633,211.7467544,7.838
1,15-10-2010,1459409.1,0,67.18,2.72,211.8137436,7.838
1,22-10-2010,1345454,0,69.86,2.725,211.8612937,7.838
1,29-10-2010,1384209.22,0,69.64,2.716,211.9088438,7.838
1,05-11-2010,1551659.28,0,58.74,2.689,211.9563939,7.838
1,12-11-2010,1494479.49,0,59.61,2.728,212.003944,7.838
1,19-11-2010,1483784.18,0,51.41,2.771,211.8896737,7.838
1,26-11-2010,1955624.11,1,64.52,2.735,211.7484333,7.838
1,03-12-2010,1548033.78,0,49.27,2.708,211.607193,7.838
1,10-12-2010,1682614.26,0,46.33,2.843,211.4659526,7.838
1,17-12-2010,1891034.93,0,49.84,2.869,211.4053124,7.838
1,24-12-2010,2387950.2,0,52.33,2.886,211.4051222,7.838
1,31-12-2010,1367320.01,1,48.43,2.943,211.4049321,7.838
1,07-01-2011,1444732.28,0,48.27,2.976,211.4047419,7.742
1,14-01-2011,1391013.96,0,35.4,2.983,211.4574109,7.742
1,21-01-2011,1327405.42,0,44.04,3.016,211.8272343,7.742
1,28-01-2011,1316899.31,0,43.83,3.01,212.1970577,7.742
1,04-02-2011,1606629.58,0,42.27,2.989,212.5668812,7.742
1,11-02-2011,1649614.93,1,36.39,3.022,212.9367046,7.742
1,18-02-2011,1686842.78,0,57.36,3.045,213.2478853,7.742
1,25-02-2011,1456800.28,0,62.9,3.065,213.535609,7.742
1,04-03-2011,1636263.41,0,59.58,3.288,213.8233327,7.742
1,11-03-2011,1553191.63,0,53.56,3.459,214.1110564,7.742
